net,x1,y1,x2,y2,width
DATSIM,1110.334,2678.349,1110.334,2680.33,5
VSIM,1097.231,1250.896,1097.231,2661.546,5
VSIM,1096.348,2662.43,1097.231,2661.546,5
DATSIM,1110.334,2678.349,1123.344,2665.339,5
DATSIM,1123.344,1215.396,1124.658,1214.081,5
DATSIM,1123.344,1215.396,1123.344,2665.339,5
MODEM_VCC,1218.534,2695.07,1250,2663.604,10
UART1_RXD,1306.974,3155.062,1314.778,3162.866,10
UART1_RXD,1306.974,1350,1306.974,3155.062,10
UART1_RXD,1314.778,3162.866,1314.778,3164.778,10
I2C_SDA,1230,1642.126,1240,1652.126,5
I2C_SDA,1240,1652.126,1240,2242.801,5
INT_PRESS,206.237,1651.795,206.237,1850,5
INT_ACCEL2,163.176,1852.474,163.176,1885.776,5
INT_ACCEL1,180,1853.174,180,1869.129,5
RESET_LTE,146.818,1879,147.043,1878.775,5
INT_ACCEL1,150.447,1823.62,180,1853.174,5
LTE_RX,229.223,2346.532,229.223,2349.192,5
RESET_LTE,169.981,2000,170.715,1999.266,5
INT_PRESS,206.237,1651.795,214.393,1643.64,5
LTE_RX,222.595,1666.919,222.595,2339.905,5
RESET_LTE,132.447,1835.174,147.043,1849.77,5
LTE_RX,222.595,2339.905,229.223,2346.532,5
LTE_RX,222.595,1666.919,229.888,1659.626,5
INT_ACCEL2,141.447,1830.745,163.176,1852.474,5
LTE_RX,229.888,1646.795,229.888,1659.626,5
RESET_LTE,147.043,1892.776,147.043,2000,5
RESET_LTE,146.818,1879,146.818,1892.551,5
RESET_LTE,147.043,1849.77,147.043,1878.775,5
RESET_LTE,146.818,1892.551,147.043,1892.776,5
EN_LTE,540,1656.203,540,2060,5
EN_LTE,538.293,1654.496,540,1656.203,5
TEMP_EXT2,554.806,2051.671,556.358,2053.224,5
TEMP_EXT2,556.358,2053.224,556.358,2066.776,5
TEMP_EXT2,534.806,1590,554.806,1610,5
TEMP_EXT2,554.806,1610,554.806,2051.671,5
WAKEUP_LTE,400.035,1412.534,400.035,2027.61,5
WAKEUP_LTE,400.035,2030.036,400.035,2304.606,5
WAKEUP_LTE,400.035,2030.036,402.461,2027.61,5
LTE_TX,242.652,2020,242.652,2306.137,5
LTE_TX,242.652,1672.62,242.652,2020,5
LTE_TX,247.277,2020,247.298,2020.02,5
LTE_TX,242.652,2020,247.277,2020,5
FLIGHT_MODE,117.453,2000.188,117.642,2000,5
FLIGHT_MODE,117.642,2000,137.628,2000,5
RESET_LTE,147.043,2000,169.981,2000,5
RESET_LTE,147.043,2000,147.043,2595.292,5
FLIGHT_MODE,137.628,2000,137.628,2623.121,5
NetC32_2,802.763,919.843,802.763,1042.808,5
TEMP_EXT2,554.806,2068.329,556.358,2066.776,5
SWD_IO,523.642,2053.224,525.429,2051.437,5
SWD_IO,525.429,2068.563,525.429,3608.74,5
SWD_IO,525.429,1934.735,525.429,2051.437,5
SWD_IO,523.642,2066.776,525.429,2068.563,5
TEMP_EXT2,554.806,2068.329,554.806,2461.097,5
SWD_IO,523.642,2053.224,523.642,2066.776,5
SCLK,490,1452.842,527.197,1452.842,5
SCLK,527.197,1452.842,578.9,1401.139,5
SCLK,578.9,1336.322,578.9,1354.29,5
SCLK,578.9,1354.29,578.9,1401.139,5
SCLK,578.9,1336.322,604.184,1311.038,5
MOSI,615.734,1332.632,615.734,1438.938,5
SCLK,647.236,1311.038,665.882,1329.684,5
SCLK,665.882,1329.684,665.882,1332.486,5
I2C_SDA,1409.687,391.968,1465.612,391.968,5
I2C_SCL,1406.758,366.584,1465.612,366.584,5
WAKEUP_LTE,399.997,2304.644,400.035,2304.606,5
LTE_RX,229.888,1646.795,232.321,1644.362,5
I2C_SCL,1211.378,1662.047,1211.378,2221.14,5
I2C_SCL,1211.378,2221.14,1212.757,2222.518,5
eSIM_VCC,782.393,710.332,782.442,710.38,5
eSIM_VCC,1095.474,1051.597,1099.432,1047.639,5
eSIM_VCC,782.442,710.38,782.442,836.314,5
eSIM_VCC,782.393,587.375,782.393,710.332,5
NetU11_3,856.823,719.493,856.823,817.925,5
INT_PRESS,214.393,1628.861,215.972,1627.281,5
NetR18_2,850.344,997.753,850.344,999.858,5
NetU11_3,856.188,818.56,856.823,817.925,5
BMS_RST,381.264,1425.234,383.183,1423.314,5
VSIM,1097.231,1250.896,1098.114,1250.012,5
SELSIM,731.038,1657.512,732.076,1658.55,5
SELSIM,731.038,802.364,731.038,1657.512,5
DECRF,166.805,1812.415,177.417,1801.802,5
DATSIM,823.471,932.069,823.471,997.772,5
INT_ACCEL2,138.518,1580.314,149.089,1569.743,5
INT_ACCEL1,147.518,1603.66,147.518,1651.287,5
SELSIM,730,801.326,731.038,802.364,5
WAKEUP_LTE,400.035,1412.534,400.073,1412.495,5
TEMP_EXT3,574.762,2848.43,593.788,2867.456,5
TEMP_EXT3,574.762,1568.02,574.762,2848.43,5
TEMP_EXT3,554.468,1547.726,574.762,1568.02,5
TEMP_EXT2,534.296,1564.672,534.806,1565.182,5
TEMP_EXT2,534.806,1565.182,534.806,1590,5
SWD_IO,520,1929.306,525.429,1934.735,5
SWD_CLK,501.466,3688.168,510.025,3696.727,5
SWD_CLK,510.025,3696.727,510.025,3697.455,5
RESET,446.358,1770.946,446.358,1830.418,5
RESET,422.97,1747.558,446.358,1770.946,5
RESET,446.358,3765.906,446.358,1830.418,5
SWD_CLK,501.466,1713.816,501.466,3688.168,5
RESET_LTE,129.518,1658.743,132.447,1661.672,5
DECD,89.537,1869.537,112.27,1892.27,5
DECD,112.27,1892.27,112.27,1894.425,5
FLIGHT_MODE,123.447,1844.474,137.628,1858.655,5
FLIGHT_MODE,137.628,1858.655,137.628,2000,5
FLIGHT_MODE,137.628,2623.121,161.177,2646.67,5
RESET_LTE,147.043,2595.292,171.751,2620,5
FLIGHT_MODE,123.447,1665.4,123.447,1844.474,5
RESET_LTE,132.447,1661.672,132.447,1835.174,5
INT_ACCEL2,141.447,1657.944,141.447,1830.745,5
INT_ACCEL1,150.447,1807.548,150.447,1823.62,5
INT_ACCEL1,150.447,1807.548,153.376,1804.619,5
FLIGHT_MODE,98.624,1405.884,118.603,1425.863,5
FLIGHT_MODE,118.603,1660.556,123.447,1665.4,5
RESET_LTE,117.512,1393.263,129.518,1405.269,5
RESET_LTE,129.518,1405.269,129.518,1658.743,5
FLIGHT_MODE,118.603,1425.863,118.603,1660.556,5
INT_ACCEL2,138.518,1580.314,138.518,1655.015,5
INT_ACCEL1,147.518,1603.66,157.52,1593.657,5
TEMP_EXT1,255.887,1611.496,259.622,1615.231,5
TEMP_EXT1,232.308,1611.496,255.887,1611.496,5
TEMP_EXT1,259.622,1615.231,259.991,1800.098,5
TEMP_EXT1,260.496,1800.505,260.496,1839.979,5
TEMP_EXT1,259.991,1799.999,260.496,1800.505,5
TEMP_EXT1,259.991,1800.098,260,1804.619,5
INT_PRESS,214.393,1628.861,214.393,1643.64,5
DATSIM,823.471,997.772,863,1037.301,5
RSTSIM,1141,2780,1161,2760,5
RSTSIM,1140,2780,1141,2780,5
I2C_SCL,1397.758,375.584,1397.758,1637.758,5
I2C_SDA,1406.758,394.897,1409.687,391.968,5
I2C_SCL,1397.758,375.584,1406.758,366.584,5
I2C_SDA,1406.758,394.897,1406.758,1616.089,5
BMS_RST,1510,354.566,1510,1177.071,5
BMS_RST,1496.634,341.2,1510,354.566,5
BMS_RST,1465.588,341.2,1496.634,341.2,5
INT_ACCEL2,138.518,1655.015,141.447,1657.944,5
INT_ACCEL1,147.518,1651.287,153.376,1657.145,5
INT_ACCEL2,149.089,1567.751,149.089,1569.743,5
INT_ACCEL1,157.52,1590.528,157.52,1593.657,5
INT_ACCEL1,153.376,1657.145,153.376,1804.619,5
DECD,89.537,1437.109,89.537,1869.537,5
SWD_IO,520,1709.216,520,1929.306,5
SWD_IO,501.816,1691.032,520,1709.216,5
I2C_SCL,485.108,1741.096,485.108,1968.703,5
I2C_SDA,462.396,1978.381,465.325,1981.31,5
I2C_SDA,462.396,1740.596,462.396,1978.381,5
LTE_RX,430,2332.834,430,2332.834,5
MOSI,534.296,1479.91,536.444,1477.762,5
MOSI,574.762,1479.91,615.734,1438.938,5
MOSI,536.444,1477.762,538.594,1479.91,5
MOSI,538.594,1479.91,574.762,1479.91,5
INT_PRESS,1760,1619.152,1774.604,1604.548,5
INT_PRESS,1760,1619.152,1760,1850,5
MODE_CONFIG,531.214,1134.496,531.214,1370.56,5
MODE_CONFIG,531.214,1370.56,532.428,1371.774,5
MODE_CONFIG,530,1133.282,531.214,1134.496,5
UART1_TXD,1288.115,1330,1288.115,3192.842,10
MISO,712.787,1506.1,715.716,1509.029,5
MISO,554.468,1506.1,712.787,1506.1,5
MISO,715.716,1509.029,715.716,1681.154,5
SS,535.138,1531.114,696.431,1531.114,5
SS,699.36,1534.043,699.36,1690.551,5
SS,696.431,1531.114,699.36,1534.043,5
SS,699.36,1690.551,708.121,1699.312,5
SS,708.121,1699.312,747.56,1699.312,5
DECRF,177.417,1609.501,177.417,1801.802,5
DECRF,166.805,1812.415,166.805,1814.324,5
BMS_RST,1510,1177.071,1512.929,1180,5
I2C_SDA,1406.758,1616.089,1420,1629.331,5
I2C_SCL,1397.758,1637.758,1420,1660,5
BMS_RST,383.183,344.584,383.638,344.129,5
BMS_RST,383.183,344.584,383.183,1423.314,5
TEMP_EXT1,1430,2050,1432.52,2052.52,10
TEMP_EXT1,1430,1857.716,1430,2050,10
TEMP_EXT2,1599.661,2461.353,1599.662,2461.352,10
TEMP_EXT3,1595.054,2865.578,1599.662,2870.186,10
UART1_TXD,1288.115,3192.842,1295.552,3200.278,10
CLKSIM,1167.071,2800,1170,2797.071,5
CLKSIM,1170,2575.084,1170,2797.071,5
RSTSIM,1161,2578.811,1161,2760,5
RSTSIM,1156.61,2537.987,1156.61,2574.421,5
RSTSIM,1161,1018.893,1161,2533.597,5
CLKSIM,1165.61,2541.715,1170,2537.324,5
CLKSIM,1165.61,2570.693,1170,2575.084,5
CLKSIM,1170,1221.685,1170,2537.324,5
RSTSIM,1156.61,2574.421,1161,2578.811,5
CLKSIM,1165.61,2541.715,1165.61,2570.693,5
RSTSIM,1156.61,2537.987,1161,2533.597,5
MODEM_VCC,1258.858,1302.769,1258.858,2250.613,10
MODEM_VCC,1250,2259.471,1258.858,2250.613,10
MODEM_VCC,1226.563,1192.899,1226.563,1201.183,10
MODEM_VCC,1208.694,1252.604,1258.858,1302.769,10
MODEM_VCC,1250,2259.471,1250,2663.604,10
MODEM_VCC,1220.806,1187.142,1226.563,1192.899,10
MODEM_VCC,1208.694,1219.053,1208.694,1252.604,10
MODEM_VCC,1208.694,1219.053,1226.563,1201.183,10
eSIM_VCC,1099.432,582.933,1099.432,1047.639,5
eSIM_VCC,1067.918,1051.597,1095.474,1051.597,5
MODEM_VCC,1220.806,1160,1220.806,1187.142,5
MODE_CONFIG,1249.194,1038.978,1249.194,1235.829,10
VSYS,1537.315,744.755,1593.443,688.627,10
VSYS,1593.443,546.17,1593.443,688.627,10
I2C_SDA,1760,1916.7,1826.7,1850,10
I2C_SDA,1826.7,1671.994,1826.7,1850,10
I2C_SDA,1778.32,2268.24,1778.32,2268.284,10
I2C_SDA,1760,2249.92,1778.32,2268.24,10
I2C_SDA,1760,1916.7,1760,2249.92,10
I2C_SDA,1049.587,2242.801,1062.728,2242.801,5
I2C_SDA,1062.728,2242.801,1077.844,2227.686,5
I2C_SDA,1077.844,1986.828,1077.844,2227.686,5
I2C_SDA,1047.154,2245.235,1049.587,2242.801,5
I2C_SDA,1077.844,1986.828,1079.414,1985.256,5
I2C_SCL,1780,1920.15,1876.304,1823.846,10
I2C_SCL,1876.304,1678.378,1876.304,1823.846,10
I2C_SCL,1778.858,2234.722,1780,2233.58,10
I2C_SCL,1780,1920.15,1780,2233.58,10
I2C_SCL,1210,1660.669,1211.378,1662.047,5
I2C_SCL,1054.474,1967.066,1054.474,2203.653,5
I2C_SCL,1049.676,2208.451,1054.474,2203.653,5
I2C_SCL,1047.243,2222.518,1049.676,2220.085,5
I2C_SCL,1049.676,2208.451,1049.676,2220.085,5
NetC32_2,802.763,1042.808,804.58,1044.624,5
NetC32_2,803.587,1159.096,804.58,1158.104,5
NetC32_2,804.58,1044.624,804.58,1158.104,5
NetC32_2,644.488,1159.822,644.544,1159.766,5
NetC32_2,644.544,1093.176,644.544,1159.766,5
NetC32_2,644.544,1093.176,644.6,1093.12,5
NetC31_2,946.543,1214.081,971.27,1214.081,5
NetC31_2,971.27,1214.081,1011.378,1173.974,5
SCLK,604.184,1311.038,647.236,1311.038,5
INT_ACCEL2,986.8,2126.602,987.442,2127.244,5
INT_ACCEL2,986.158,1898.938,986.8,1899.58,5
INT_ACCEL2,986.8,1899.58,986.8,2126.602,5
RSTSIM,1160.707,1018.6,1161,1018.893,5
NetC31_2,872.546,949.653,879.359,956.465,5
NetC31_2,879.359,956.465,879.359,1146.897,5
NetC31_2,872.546,947.178,872.546,949.653,5
NetR18_2,839.83,987.238,850.344,997.753,5
NetR18_2,839.83,947.178,839.83,987.238,5
DATSIM,823.471,932.069,826.866,928.674,5
NetC31_2,879.359,1146.897,946.543,1214.081,5
NetC30_2,895.717,1124.715,938.47,1167.467,5
NetC30_2,944.14,1171.49,947.582,1171.49,5
NetC30_2,938.47,1167.467,940.118,1167.467,5
NetC30_2,940.118,1167.467,944.14,1171.49,5
NetC30_2,895.717,836.525,895.717,1124.715,5
NetC30_2,637.243,853.858,637.243,900.361,5
NetC30_2,637.243,900.361,679.252,942.37,5
NetC30_2,895.717,836.525,895.841,836.401,5
RSTSIM,946,1019.871,947.39,1021.261,5
RSTSIM,946,806.154,946,1019.871,5
RSTSIM,946,806.154,947.899,804.255,5
CLKSIM,1010.973,918.171,1012.722,916.422,5
CLKSIM,1010.973,918.171,1010.973,1040.028,5
CLKSIM,1010.973,1040.028,1011.268,1040.322,5
NetU11_7,920,720,920,881.157,5
NetU11_7,920,881.157,920.969,882.126,5
CLKSIM,1170,1221.685,1193.52,1198.164,5
CLKSIM,1193.52,1040.711,1193.52,1198.164,5
DATSIM,863,1193.911,883.492,1214.403,5
DATSIM,863,1037.301,863,1193.911,5
eSIM_VCC,780.88,585.862,782.393,587.375,5
NetU11_3,856.188,718.858,856.823,719.493,5
SS,534.296,1531.956,535.138,1531.114,5
INT_ACCEL1,944.913,1888.507,944.913,2298.283,5
INT_ACCEL1,944.913,1888.507,946.63,1886.79,5
INT_ACCEL1,943.195,2300,944.913,2298.283,5
SS,747.56,1699.312,765.586,1681.286,5
